case_id,title,technology,module,equipment_type,symptom,root_cause,solution,confidence,created_at,validation_status
RCA_SYN_001,Cu CMP low slurry-flow excursion,40nm,Cu CMP,CMP,"slurry flow trends down, endpoint time extends, and Cu residue rises across several wafers",Partial restriction in the slurry filter reduced delivered slurry flow,replace the slurry filter; calibrate the flow controller; run qualification wafers,0.93,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_002,Cu CMP intermittent slurry-delivery loss,28nm,Cu CMP,CMP,intermittent slurry-flow dips align with removal-rate loss and endpoint extension,Slurry pump cavitation intermittently interrupted chemical delivery,inspect pump inlet pressure; remove trapped gas; verify stable slurry delivery,0.91,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_003,Cu CMP radial scratch cluster,40nm,Cu CMP,CMP,radial scratches repeat at the same wafer radius while normal slurry and endpoint signals are observed,A worn retaining ring created repeatable mechanical contact,replace the retaining ring; inspect carrier contact surfaces; verify scratch-free monitor wafers,0.92,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_004,Cu CMP random scratch burst,40nm,Cu CMP,CMP,random-direction scratches appear on a short wafer sequence after a carrier change with normal process traces,A trapped carrier particle caused transient wafer contact,clean the carrier; inspect the load path; monitor subsequent wafers,0.86,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_005,Cu CMP center-fast thickness profile,28nm,Cu CMP,CMP,post-polish thickness shows a center-fast profile while slurry flow remains stable,Pad glazing changed the effective wafer-to-pad contact profile,condition or replace the pad; verify pad-life counters; run profile qualification,0.90,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_006,Cu CMP edge over-polish signature,28nm,Cu CMP,CMP,edge thickness loss increases after carrier maintenance while center removal remains nominal,Retaining-ring pressure calibration was biased high,recalibrate ring pressure; check carrier maintenance records; qualify edge profile,0.92,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_007,ILD CVD low deposition rate,40nm,Thin Film,CVD,pre-CMP ILD thickness drifts low on one chamber while downstream CMP traces remain normal,The precursor mass-flow controller calibration drifted low,calibrate the precursor MFC; check chamber matching; run thickness qualification,0.94,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_008,CVD chamber particle burst,28nm,Thin Film,CVD,particle counts rise abruptly after long chamber runtime and show chamber-specific clustering,Deposited film flaked from the showerhead after exceeding clean life,perform chamber clean; inspect the showerhead; reset and monitor clean-life counters,0.93,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_009,PECVD film-stress shift,28nm,Thin Film,CVD,film stress shifts tensile while thickness and gas flow remain inside their normal bands,RF matching-network drift changed plasma ion energy,verify RF match tuning; inspect reflected power; qualify film stress,0.89,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_010,CVD wafer-to-wafer rate drift,40nm,Thin Film,CVD,deposition rate decays over the first wafers after preventive maintenance and then stabilizes,The post-clean chamber seasoning sequence was incomplete,repeat the seasoning sequence; verify rate stabilization; review PM completion checks,0.91,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_011,CVD center-edge thickness imbalance,40nm,Thin Film,CVD,center-edge thickness range increases with a stable wafer-average deposition rate,A heater-zone calibration imbalance changed local surface temperature,calibrate heater zones; verify temperature sensors; run wafer-map qualification,0.92,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_012,Lithography CD large excursion,28nm,Lithography,Scanner,critical dimension shifts large together with focus-monitor drift but stable dose monitors,Scanner focus calibration shifted after maintenance,recalibrate focus; verify focus-exposure matrix; qualify critical-layer wafers,0.94,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_013,Lithography overlay X shift,28nm,Lithography,Scanner,overlay shows a consistent X-direction translation on one scanner with normal wafer expansion terms,Stage alignment calibration carried a constant X offset,recalibrate stage alignment; verify alignment marks; run overlay qualification,0.93,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_014,Lithography missing-pattern strip,40nm,Lithography,Track,missing-pattern defects form a narrow strip aligned with the developer dispense path,A partially blocked developer nozzle reduced local chemical coverage,clean or replace the nozzle; verify dispense coverage; inspect monitor wafers,0.92,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_015,Lithography bridge-defect increase,28nm,Lithography,Track,bridge defects rise while exposure dose is stable and bake-plate temperature trends low,Post-exposure bake plate calibration drifted below target,calibrate the bake plate; verify temperature uniformity; run resist-profile qualification,0.93,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_016,Photoresist edge-peel signature,40nm,Lithography,Track,resist peel is concentrated at the wafer edge after an edge-bead-removal maintenance event,The edge-bead-removal nozzle position was misaligned,realign the EBR nozzle; verify edge coverage; inspect adhesion monitors,0.90,2026-08-08T00:00:00+08:00,CONFIRMED
