lot_id,wafer_id,route_id,operation_no,operation_name,module,equipment_id,chamber_id,recipe_id,recipe_version,started_at,ended_at,operator_id,process_result
LOT_N_001,LOT_N_001_W01,ROUTE_40N_SOC_A,1000,Pre STI Wet Clean,Wet Clean,WET_FEOL_01,WET_FEOL_01_CH01,WET_CLEAN_40N,R01,2026-07-01T14:00:00+00:00,2026-07-01T14:45:00+00:00,op_auto,PASS
LOT_N_001,LOT_N_001_W01,ROUTE_40N_SOC_A,1100,Pad Oxide Diffusion,Diffusion,FURNACE_DIFF_01,FURNACE_DIFF_01_CH01,DIFFUSION_OX_40N,R02,2026-07-01T17:00:00+00:00,2026-07-01T17:45:00+00:00,op_auto,PASS
LOT_N_001,LOT_N_001_W01,ROUTE_40N_SOC_A,1200,STI Nitride Deposition,Thin Film,CVD_STI_01,CVD_STI_01_CH01,THINFILM_NITRIDE_40N,R04,2026-07-01T20:00:00+00:00,2026-07-01T20:45:00+00:00,op_auto,PASS
LOT_N_001,LOT_N_001_W01,ROUTE_40N_SOC_A,1300,STI Lithography,STI Litho,LITHO_STI_01,LITHO_STI_01_CH01,STI_LITHO_40N,R01,2026-07-01T23:00:00+00:00,2026-07-01T23:45:00+00:00,op_auto,PASS
LOT_N_001,LOT_N_001_W01,ROUTE_40N_SOC_A,1400,STI Etch,STI Etch,ETCH_STI_01,ETCH_STI_01_CH01,STI_ETCH_40N,R06,2026-07-02T02:00:00+00:00,2026-07-02T02:45:00+00:00,op_auto,PASS
LOT_N_001,LOT_N_001_W01,ROUTE_40N_SOC_A,1450,STI Oxide Fill,Thin Film,CVD_STI_01,CVD_STI_01_CH01,STI_OX_FILL_40N,R08,2026-07-02T05:00:00+00:00,2026-07-02T05:45:00+00:00,op_auto,PASS
LOT_N_001,LOT_N_001_W01,ROUTE_40N_SOC_A,1500,STI CMP,STI CMP,CMP_STI_01,CMP_STI_01_CH03,STI_CMP_40N,R03,2026-07-02T08:00:00+00:00,2026-07-02T08:45:00+00:00,op_auto,PASS
LOT_N_001,LOT_N_001_W01,ROUTE_40N_SOC_A,1510,Post STI CMP Wet Clean,Wet Clean,WET_FEOL_01,WET_FEOL_01_CH01,POST_STI_CMP_CLEAN_40N,R01,2026-07-02T11:00:00+00:00,2026-07-02T11:45:00+00:00,op_auto,PASS
LOT_N_001,LOT_N_001_W01,ROUTE_40N_SOC_A,5000,ILD Deposition,Thin Film,CVD_ILD_01,CVD_ILD_01_CH01,ILD_DEP_40N,R01,2026-07-02T14:00:00+00:00,2026-07-02T14:45:00+00:00,op_auto,PASS
LOT_N_001,LOT_N_001_W01,ROUTE_40N_SOC_A,5100,ILD CMP,ILD CMP,CMP_ILD_01,CMP_ILD_01_CH02,ILD_CMP_40N,R02,2026-07-02T17:00:00+00:00,2026-07-02T17:45:00+00:00,op_auto,PASS
