recipe_id,recipe_version,recipe_name,module,recipe_family,status,owner,released_at
RCP_V2_1000,V2.1,Synthetic Coat and expose,Lithography,V2_LITHOGRAPHY,RELEASED,SYNTHETIC_DATA_TEAM,2025-01-01T00:00:00+00:00
RCP_V2_2000,V2.1,Synthetic Pattern transfer,Dry Etch,V2_DRY_ETCH,RELEASED,SYNTHETIC_DATA_TEAM,2025-01-01T00:00:00+00:00
RCP_V2_3000,V2.1,Synthetic Dose implantation,Ion Implant,V2_ION_IMPLANT,RELEASED,SYNTHETIC_DATA_TEAM,2025-01-01T00:00:00+00:00
RCP_V2_4000,V2.1,Synthetic Barrier deposition,PVD,V2_PVD,RELEASED,SYNTHETIC_DATA_TEAM,2025-01-01T00:00:00+00:00
RCP_V2_5000,V2.1,Synthetic Dielectric deposition,CVD,V2_CVD,RELEASED,SYNTHETIC_DATA_TEAM,2025-01-01T00:00:00+00:00
RCP_V2_6000,V2.1,Synthetic Copper electroplating,Electroplating,V2_ELECTROPLATING,RELEASED,SYNTHETIC_DATA_TEAM,2025-01-01T00:00:00+00:00
RCP_V2_6400,V2.1,Synthetic Copper planarization,Cu CMP,V2_CU_CMP,RELEASED,SYNTHETIC_DATA_TEAM,2025-01-01T00:00:00+00:00
RCP_V2_7000,V2.1,Synthetic Post-process clean,Wet Clean,V2_WET_CLEAN,RELEASED,SYNTHETIC_DATA_TEAM,2025-01-01T00:00:00+00:00
RCP_V2_8000,V2.1,Synthetic Inline measurement,Metrology,V2_METROLOGY,RELEASED,SYNTHETIC_DATA_TEAM,2025-01-01T00:00:00+00:00
RCP_V2_9000,V2.1,Synthetic Electrical parametric test,WAT,V2_WAT,RELEASED,SYNTHETIC_DATA_TEAM,2025-01-01T00:00:00+00:00
