equipment_id,equipment_type,module,process_area,material,vendor,model,location,status,installed_at
CMP_CU_11,CMP Polisher,Cu CMP,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
CMP_CU_12,CMP Polisher,Cu CMP,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
CMP_CU_13,CMP Polisher,Cu CMP,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
CMP_CU_14,CMP Polisher,Cu CMP,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
CMP_CU_15,CMP Polisher,Cu CMP,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
CMP_CU_21,CMP Polisher,Cu CMP,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
CMP_CU_22,CMP Polisher,Cu CMP,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
CMP_CU_23,CMP Polisher,Cu CMP,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
CVD_ILD_17,CVD Reactor,CVD,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_1000,Scanner,Lithography,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_2000,Plasma Etcher,Dry Etch,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_3000,Implanter,Ion Implant,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_4000,PVD Cluster,PVD,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_5000,CVD Reactor,CVD,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_6000,Plating Tool,Electroplating,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_6400,CMP Polisher,Cu CMP,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_7000,Wet Bench,Wet Clean,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_8000,Metrology Tool,Metrology,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_9000,Parametric Tester,WAT,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
ETCH_METAL_08,Plasma Etcher,Dry Etch,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
ETCH_VIA_09,Plasma Etcher,Dry Etch,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
IMP_WELL_03,Implanter,Ion Implant,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
LITHO_SCN_06,Scanner,Lithography,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
MET_FILM_03,Metrology Tool,Metrology,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
MET_FILM_11,Metrology Tool,Metrology,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
PLATE_CU_04,Plating Tool,Electroplating,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
PLATE_CU_09,Plating Tool,Electroplating,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
WAT_CELL_07,Parametric Tester,WAT,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
WAT_CELL_08,Parametric Tester,WAT,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
WAT_CELL_12,Parametric Tester,WAT,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
WET_BACK_07,Wet Bench,Wet Clean,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
WET_BACK_12,Wet Bench,Wet Clean,Synthetic Fab V2,,SYNTHETIC,V2,SYNTHETIC_FAB,ACTIVE,2024-01-01T00:00:00+00:00
