hold_id,lot_id,wafer_id,hold_type,hold_code,hold_reason,hold_comment,created_by,created_at,released_by,released_at,release_comment
HOLD_LOT_A_001,LOT_A_001,LOT_A_001_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-09T00:45:00+00:00,,,
HOLD_LOT_A_002,LOT_A_002,LOT_A_002_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-09T03:45:00+00:00,,,
HOLD_LOT_A_003,LOT_A_003,LOT_A_003_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-09T06:45:00+00:00,,,
HOLD_LOT_A_004,LOT_A_004,LOT_A_004_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-09T09:45:00+00:00,,,
HOLD_LOT_A_005,LOT_A_005,LOT_A_005_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-09T12:45:00+00:00,,,
HOLD_LOT_A_006,LOT_A_006,LOT_A_006_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-09T15:45:00+00:00,,,
HOLD_LOT_A_007,LOT_A_007,LOT_A_007_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-09T18:45:00+00:00,,,
HOLD_LOT_A_008,LOT_A_008,LOT_A_008_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-09T21:45:00+00:00,,,
HOLD_LOT_A_009,LOT_A_009,LOT_A_009_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-10T00:45:00+00:00,,,
HOLD_LOT_A_010,LOT_A_010,LOT_A_010_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-10T03:45:00+00:00,,,
HOLD_LOT_A_011,LOT_A_011,LOT_A_011_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-10T06:45:00+00:00,,,
HOLD_LOT_A_012,LOT_A_012,LOT_A_012_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-10T09:45:00+00:00,,,
HOLD_LOT_A_013,LOT_A_013,LOT_A_013_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-10T12:45:00+00:00,,,
HOLD_LOT_A_014,LOT_A_014,LOT_A_014_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-10T15:45:00+00:00,,,
HOLD_LOT_A_015,LOT_A_015,LOT_A_015_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-10T18:45:00+00:00,,,
HOLD_LOT_A_016,LOT_A_016,LOT_A_016_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-10T21:45:00+00:00,,,
HOLD_LOT_A_017,LOT_A_017,LOT_A_017_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-11T00:45:00+00:00,,,
HOLD_LOT_A_018,LOT_A_018,LOT_A_018_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-11T03:45:00+00:00,,,
HOLD_LOT_A_019,LOT_A_019,LOT_A_019_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-11T06:45:00+00:00,,,
HOLD_LOT_A_020,LOT_A_020,LOT_A_020_W01,ENGINEERING,YIELD_REVIEW,Yield excursion review,Scratch defect and leakage fail increased after Cu CMP; suspect CMP_CU03_CH02 slurry delivery degradation.,yield_eng,2026-07-11T09:45:00+00:00,,,
