recipe_id,recipe_version,recipe_name,module,recipe_family,status,owner,released_at
WET_CLEAN_40N,R01,40nm Pre STI Wet Clean,Wet Clean,WET_CLEAN,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
DIFFUSION_OX_40N,R02,40nm Pad Oxide Diffusion,Diffusion,DIFFUSION_OX,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
THINFILM_NITRIDE_40N,R04,40nm STI Nitride Deposition,Thin Film,THINFILM_NITRIDE,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
STI_LITHO_40N,R01,40nm STI Lithography,STI Litho,STI_LITHO,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
STI_ETCH_40N,R06,40nm STI Trench Etch,STI Etch,STI_ETCH,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
STI_OX_FILL_40N,R08,40nm STI Oxide Fill,Thin Film,STI_OX_FILL,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
STI_CMP_40N,R03,40nm STI Oxide CMP,STI CMP,STI_CMP,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
POST_STI_CMP_CLEAN_40N,R01,40nm Post STI CMP Clean,Wet Clean,POST_CMP_CLEAN,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
ILD_DEP_40N,R01,40nm ILD Oxide Deposition,Thin Film,ILD_DEP,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
ILD_CMP_40N,R02,40nm ILD Oxide CMP,ILD CMP,ILD_CMP,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
POST_ILD_CMP_CLEAN_40N,R01,40nm Post ILD CMP Clean,Wet Clean,POST_CMP_CLEAN,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
CONTACT_LITHO_40N,R03,40nm Contact Lithography,Contact Litho,CONTACT_LITHO,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
CONTACT_ETCH_40N,R07,40nm Contact Etch,Contact Etch,CONTACT_ETCH,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
PRE_W_CLEAN_40N,R01,40nm Pre W Wet Clean,Wet Clean,PRE_METAL_CLEAN,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
W_BARRIER_LINER_40N,R04,40nm Ti/TiN Barrier Liner,Barrier Liner,W_BARRIER,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
W_CVD_FILL_40N,R05,40nm Tungsten CVD Fill,Thin Film,W_CVD_FILL,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
W_CMP_40N,R09,40nm Tungsten Plug CMP,W CMP,W_CMP,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
POST_W_CMP_CLEAN_40N,R01,40nm Post W CMP Clean,Wet Clean,POST_CMP_CLEAN,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
LOWK_IMD_DEP_40N,R01,40nm Low-k IMD Deposition,Thin Film,LOWK_IMD_DEP,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
IMD_CMP_40N,R02,40nm IMD CMP,IMD CMP,IMD_CMP,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
POST_IMD_CMP_CLEAN_40N,R01,40nm Post IMD CMP Clean,Wet Clean,POST_CMP_CLEAN,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
CU_LITHO_40N,R03,40nm Cu Lithography,Cu Litho,CU_LITHO,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
CU_ETCH_40N,R04,40nm Cu Trench Etch,Cu Etch,CU_ETCH,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
PRE_CU_CLEAN_40N,R01,40nm Pre Cu Wet Clean,Wet Clean,PRE_METAL_CLEAN,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
CU_BARRIER_SEED_40N,R06,40nm Cu Barrier Seed,Barrier Seed,CU_BARRIER_SEED,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
CU_ECP_FILL_40N,R11,40nm Cu ECP Fill,Cu Plating,CU_ECP,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
CU_CMP_40N,R18,40nm Cu CMP Polish,Cu CMP,CU_CMP,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
POST_CU_CMP_CLEAN_40N,R01,40nm Post Cu CMP Clean,Wet Clean,POST_CMP_CLEAN,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
KLA_CU_INSPECT,R02,Cu CMP Post Inspection,Defect Inspection,KLA_INSPECT,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
WAT_40N_SOC,R05,40N SOC WAT,WAT,WAT,ACTIVE,process_eng,2026-01-01T00:00:00+00:00
