case_id,title,technology,module,equipment_type,symptom,root_cause,solution,confidence,created_at,validation_status
RCA_V2_001,Synthetic reviewed event 001: Cu CMP signal,Synthetic 28nm logic,Cu CMP,CMP Polisher,directional micro-scratch bands; localized copper residue,CMP_CU_11 pad conditioner bearing drag caused intermittent pad glazing,replace the conditioner bearing; qualify pad break-in stability,0.90,2025-01-15T00:00:00+00:00,CONFIRMED
RCA_V2_002,Synthetic reviewed event 003: Cu CMP signal,Synthetic 28nm logic,Electroplating,Plating Tool,edge dishing asymmetry; post-polish thickness crescent,PLATE_CU_04 anode contact intermittency created an upstream copper profile skew,renew the anode contact set; verify pre-CMP copper map uniformity,0.90,2025-01-15T00:00:00+00:00,CONFIRMED
RCA_V2_003,Synthetic reviewed event 005: Cu CMP signal,Synthetic 28nm logic,Cu CMP,CMP Polisher,one-sided over-polish arc; azimuthal thickness crescent,CMP_CU_13 carrier-head orbit runout caused azimuthal over-polish,repair and dynamically balance the carrier head; inspect lots sharing CMP_CU_13 exposure,0.90,2025-01-15T00:00:00+00:00,CONFIRMED
RCA_V2_004,Synthetic reviewed event 007: Metrology signal,Synthetic 28nm logic,Metrology,Metrology Tool,apparent removal-rate step; stable electrical distribution,MET_FILM_03 reference-wafer offset produced a false post-CMP thickness shift,recalibrate the optical model; remeasure retained reference wafers,0.90,2025-01-15T00:00:00+00:00,CONFIRMED
RCA_V2_005,Synthetic reviewed event 009: Cu CMP signal,Synthetic 28nm logic,Cu CMP,CMP Polisher,center residue islands; normal endpoint duration,unverified CMP slurry delivery restriction,collect pump pressure traces; run confirmation wafers before attribution,0.40,2025-01-15T00:00:00+00:00,CONFIRMED
RCA_V2_006,Synthetic reviewed event 011: Dry Etch signal,Synthetic 28nm logic,Unresolved,Unknown,isolated sidewall roughness; no chamber recurrence,UNRESOLVED because current-lot equipment evidence is missing,retain the wafer for review; do not promote a historical match,0.40,2025-01-15T00:00:00+00:00,CONFIRMED
RCA_V2_007,Synthetic reviewed event 013: CVD signal,Synthetic 28nm logic,CVD,CVD Reactor,true deposited-film thinning; capacitance monitor shift,CVD_FILM_07 chamber-temperature drift reduced deposition rate,repair chamber-temperature control; requalify deposition rate,0.90,2025-01-15T00:00:00+00:00,CONFIRMED
RCA_V2_008,Synthetic reviewed event 015: Cu CMP signal,Synthetic 28nm logic,Electroplating,Plating Tool,radial erosion growth; post-polish thickness tilt,PLATE_CU_09 agitation controller drift distorted the incoming copper profile,replace the agitation encoder; qualify incoming copper uniformity,0.90,2025-01-15T00:00:00+00:00,CONFIRMED
RCA_V2_009,Synthetic reviewed event 017: Cu CMP signal,Synthetic 28nm logic,Cu CMP,CMP Polisher,repeating arc scratches; stable scratch orientation,CMP_CU_22 post-polish rinse chamber particle shedding marked wafers,clean and qualify the rinse chamber; inspect all lots sharing its exposure window,0.90,2025-01-15T00:00:00+00:00,CONFIRMED
RCA_V2_010,Synthetic reviewed event 019: WAT signal,Synthetic 28nm logic,Ion Implant,Implanter,threshold-voltage tail shift; normal metal resistance,IMP_WELL_03 dose-integrator drift shifted well implant dose,recalibrate the dose integrator; review lots since the last beam check,0.90,2025-01-15T00:00:00+00:00,CONFIRMED
RCA_V2_011,Synthetic reviewed event 021: WAT signal,Synthetic 28nm logic,Lithography,Scanner,serpentine leakage clusters; die-row periodicity,LITHO_SCN_06 reticle haze repeated a line-space bridging signature,clean and reinspect the reticle; screen lots exposed after haze growth,0.90,2025-01-15T00:00:00+00:00,CONFIRMED
RCA_V2_012,Synthetic reviewed event 023: Metrology signal,Synthetic 28nm logic,CVD,CVD Reactor,odd-slot film thinning; stable downstream polish rate,CVD_ILD_17 susceptor sensor intermittency reduced odd-slot deposition rate,replace the susceptor sensor; hold lots sharing chamber and time exposure,0.90,2025-01-15T00:00:00+00:00,CONFIRMED
RCA_V2_013,Synthetic reviewed event 025: Cu CMP signal,Synthetic 28nm logic,Unresolved,Unknown,short-lived removal-rate dip; normal subsequent lots,UNRESOLVED after normal pad and equipment checks because chemical batch genealogy is unavailable,report the unavailable chemical genealogy source; preserve slurry samples without attributing a batch,0.40,2025-01-15T00:00:00+00:00,CONFIRMED
RCA_V2_014,Synthetic reviewed event 027: WAT signal,Synthetic 28nm logic,WAT,Parametric Tester,contact-resistance spikes; site-order recurrence,WAT_CELL_12 probe-card contamination caused false resistance spikes,clean and qualify the probe card; retest retained wafers,0.90,2025-01-15T00:00:00+00:00,CONFIRMED
