document_id,case_id,document_type,title,content,tags,created_at,validation_status
DOC_RCA_V2_001,RCA_V2_001,RCA_CASE,Synthetic reviewed event 001: Cu CMP signal,"SYNTHETIC RCA CASE. A prior production-like event presented with parallel polish tracks following platen motion; incomplete metal clearing in isolated zones. The signal was detected at Copper planarization, but the investigation kept that location as a ranking hint. Evidence reviewed: Source Lot route and equipment exposure are available.; The user-visible symptom and measurement are reproducible.; Current-Lot operational evidence supports the causal attribution. Root cause: CMP_CU_11 pad conditioner bearing drag caused intermittent pad glazing. Corrective action: replace the conditioner bearing; qualify pad break-in stability. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",surface_geometry;Cu CMP;Cu CMP;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_SOP_V2_001,,SOP,Synthetic containment procedure 002,"SYNTHETIC SOP. Trigger pattern: parallel polish tracks following platen motion; incomplete metal clearing in isolated zones. Preserve the source Lot and detection timestamp; compare the actual route; retain candidates from same-step, upstream, shared-resource, and global lanes; verify current-Lot operational signals; record unavailable sources; stop with an inconclusive result when contradictions remain. Historical engineering context: CMP_CU_11 pad conditioner bearing drag caused intermittent pad glazing. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",surface_geometry;Cu CMP;Cu CMP;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_RCA_V2_002,RCA_V2_002,RCA_CASE,Synthetic reviewed event 003: Cu CMP signal,"SYNTHETIC RCA CASE. A prior production-like event presented with perimeter recess with a one-sided radial profile; crescent-shaped film-map imbalance after polish. The signal was detected at Copper planarization, but the investigation kept that location as a ranking hint. Evidence reviewed: Source Lot route and equipment exposure are available.; The user-visible symptom and measurement are reproducible.; Pre-CMP incoming copper thickness tilt measured 38.0 nm, proving the profile existed before polish.; Current-Lot operational evidence supports the causal attribution. Root cause: PLATE_CU_04 anode contact intermittency created an upstream copper profile skew. Corrective action: renew the anode contact set; verify pre-CMP copper map uniformity. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",surface_geometry;Cu CMP;Electroplating;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_NOTE_V2_002,,ENGINEERING_NOTE,Synthetic causal-scope engineering note 004,"SYNTHETIC ENGINEERING NOTE. An observation containing perimeter recess with a one-sided radial profile; crescent-shaped film-map imbalance after polish can be detected at Copper planarization without originating there. Preserve route distance, configured resource relations, and metrology repeatability as separate features. In this reviewed example the final attribution was PLATE_CU_04 anode contact intermittency created an upstream copper profile skew. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",surface_geometry;Cu CMP;Electroplating;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_RCA_V2_003,RCA_V2_003,RCA_CASE,Synthetic reviewed event 005: Cu CMP signal,"SYNTHETIC RCA CASE. A prior production-like event presented with single-sector material loss following head rotation; crescent film profile emerging only after planarization. The signal was detected at Copper planarization, but the investigation kept that location as a ranking hint. Evidence reviewed: Source Lot route and equipment exposure are available.; The user-visible symptom and measurement are reproducible.; Pre-CMP incoming copper thickness tilt measured 2.0 nm inside specification, weakening the upstream-profile hypothesis.; Current-Lot operational evidence supports the causal attribution. Root cause: CMP_CU_13 carrier-head orbit runout caused azimuthal over-polish. Corrective action: repair and dynamically balance the carrier head; inspect lots sharing CMP_CU_13 exposure. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",surface_geometry;Cu CMP;Cu CMP;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_SOP_V2_003,,SOP,Synthetic containment procedure 006,"SYNTHETIC SOP. Trigger pattern: single-sector material loss following head rotation; crescent film profile emerging only after planarization. Preserve the source Lot and detection timestamp; compare the actual route; retain candidates from same-step, upstream, shared-resource, and global lanes; verify current-Lot operational signals; record unavailable sources; stop with an inconclusive result when contradictions remain. Historical engineering context: CMP_CU_13 carrier-head orbit runout caused azimuthal over-polish. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",surface_geometry;Cu CMP;Cu CMP;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_RCA_V2_004,RCA_V2_004,RCA_CASE,Synthetic reviewed event 007: Metrology signal,"SYNTHETIC RCA CASE. A prior production-like event presented with abrupt optical film readback displacement; unchanged electrical monitors during the reported process shift. The signal was detected at Inline measurement, but the investigation kept that location as a ranking hint. Evidence reviewed: Source Lot route and equipment exposure are available.; The user-visible symptom and measurement are reproducible.; MET_FILM_03 failed its reference-wafer calibration check with a reproducible offset.; Independent remeasurement on MET_FILM_04 returned 100.0 nm inside specification.; Current-Lot CVD and Cu CMP operational signals remain normal.; Current-Lot electrical checks remain normal, supporting a measurement artifact rather than a real process excursion.; Current-Lot operational evidence supports the causal attribution. Root cause: MET_FILM_03 reference-wafer offset produced a false post-CMP thickness shift. Corrective action: recalibrate the optical model; remeasure retained reference wafers. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",parametric_shift;Metrology;Metrology;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_NOTE_V2_004,,ENGINEERING_NOTE,Synthetic causal-scope engineering note 008,"SYNTHETIC ENGINEERING NOTE. An observation containing abrupt optical film readback displacement; unchanged electrical monitors during the reported process shift can be detected at Inline measurement without originating there. Preserve route distance, configured resource relations, and metrology repeatability as separate features. In this reviewed example the final attribution was MET_FILM_03 reference-wafer offset produced a false post-CMP thickness shift. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",parametric_shift;Metrology;Metrology;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_RCA_V2_005,RCA_V2_005,RCA_CASE,Synthetic reviewed event 009: Cu CMP signal,"SYNTHETIC RCA CASE. A prior production-like event presented with scattered unremoved metal patches near wafer center; completion timing remaining inside its control band. The signal was detected at Copper planarization, but the investigation kept that location as a ranking hint. Evidence reviewed: Source Lot route and equipment exposure are available.; The user-visible symptom and measurement are reproducible.; A transient slurry-pump pressure-drop index exceeded its control limit. Root cause: unverified CMP slurry delivery restriction. Corrective action: collect pump pressure traces; run confirmation wafers before attribution. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",surface_geometry;Cu CMP;Cu CMP;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_SOP_V2_005,,SOP,Synthetic containment procedure 010,"SYNTHETIC SOP. Trigger pattern: scattered unremoved metal patches near wafer center; completion timing remaining inside its control band. Preserve the source Lot and detection timestamp; compare the actual route; retain candidates from same-step, upstream, shared-resource, and global lanes; verify current-Lot operational signals; record unavailable sources; stop with an inconclusive result when contradictions remain. Historical engineering context: unverified CMP slurry delivery restriction. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",surface_geometry;Cu CMP;Cu CMP;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
